airport_2,,inbound_ap,Year,quarter,inbound_passengers,nsmiles,fare,large_ms,fare_lg,lf_ms,fare_low,cluster
STS,11116,STS,2022,3,505,433.0,147.05643564356436,0.8311590099009901,138.1168118811881,0.8311590099009901,138.1168118811881,0
STS,11117,STS,2022,4,506,433.0,160.7112252964427,0.8590144268774703,154.24160079051384,0.8590144268774703,154.24160079051384,0
STS,11118,STS,2023,1,423,433.0,150.1211111111111,0.8423191489361702,142.365768321513,0.8423191489361702,142.365768321513,0
STS,11119,STS,2023,2,570,433.0,154.14192982456143,0.8462096491228069,145.60219298245613,0.8462096491228069,145.60219298245613,0
STS,11120,STS,2023,3,620,433.0,159.9924516129032,0.8385446774193548,153.05361290322583,0.8385446774193548,153.05361290322583,0
STS,11121,STS,2023,4,591,433.0,164.76587140439932,0.8490925549915398,155.33402707275803,0.8490925549915398,155.33402707275803,0
SWF,11128,SWF,1996,1,825,1171.601212121212,211.49735757575763,0.6662787878787879,207.04295757575758,0.25287272727272725,178.53630303030303,0
SWF,11129,SWF,1996,2,860,1136.003488372093,214.55003488372088,0.5984302325581395,210.05717441860466,0.4445,197.3487441860465,0
SWF,11130,SWF,1996,3,834,1192.4124700239809,214.1806834532374,0.6466306954436452,210.59023980815348,0.45543165467625896,193.25217026378897,0
SWF,11131,SWF,1996,4,866,1118.4515011547344,216.7874480369515,0.6431639722863741,213.63117782909936,0.4530254041570439,196.7959237875289,0
SWF,11132,SWF,1997,1,782,1134.2289002557545,213.3868286445013,0.6834271099744246,212.17203324808185,0.3519309462915601,191.2993222506394,0
SWF,11133,SWF,1997,2,998,1108.2875751503007,213.59350701402806,0.6564228456913827,215.699619238477,0.34553106212424856,190.60601202404808,0
SWF,11134,SWF,1997,3,927,1106.2437971952536,207.9937971952535,0.7076159654800432,205.67707659115425,0.5528694714131607,187.3016720604099,0
SWF,11135,SWF,1997,4,796,1082.214824120603,224.60015075376884,0.7105276381909549,223.11103015075378,0.4623366834170855,202.39129396984922,0
SWF,11136,SWF,1998,1,630,1174.5063492063491,244.5490158730159,0.7084761904761906,243.02076190476194,0.3954444444444445,203.88452380952384,0
SWF,11137,SWF,1998,2,758,1174.9788918205804,228.11072559366758,0.6812401055408971,228.90664907651714,0.290580474934037,204.20345646437994,0
SWF,11138,SWF,1998,3,706,1192.512747875354,226.60848441926345,0.7395609065155809,226.22162889518412,0.4756373937677054,198.8420679886685,0
SWF,11139,SWF,1998,4,650,1144.2323076923076,223.70693846153847,0.7414615384615384,221.17027692307693,0.4767230769230769,197.55364615384616,0
SWF,11140,SWF,1999,1,508,1202.8484251968505,248.77456692913387,0.7072244094488188,239.65061023622047,0.4399803149606299,209.99505905511813,0
SWF,11141,SWF,1999,2,561,1197.1390374331552,244.869376114082,0.7114081996434938,240.57069518716574,0.5408199643493762,222.52718360071296,0
SWF,11142,SWF,1999,3,597,1192.5477386934674,224.66100502512563,0.7175879396984924,223.53445561139026,0.28378559463986597,187.16983249581241,0
SWF,11143,SWF,1999,4,585,1146.3555555555556,220.99485470085472,0.6849572649572649,223.1650769230769,0.29894017094017095,190.94931623931623,0
SWF,11144,SWF,2000,1,480,1166.48125,239.746875,0.6938541666666667,240.27702083333332,0.32991666666666664,178.8111875,0
SWF,11145,SWF,2000,2,621,1108.9033816425122,234.4338808373591,0.7110305958132045,232.95697262479865,0.4849919484702094,212.60500805152984,0
SWF,11146,SWF,2000,3,565,1108.8761061946902,243.52024778761063,0.7276460176991151,243.79785840707967,0.5396814159292037,214.51902654867257,0
SWF,11147,SWF,2000,4,530,1062.9377358490567,236.37356603773586,0.7035283018867925,230.96175471698115,0.37603773584905664,189.99620754716983,0
SWF,11148,SWF,2001,1,393,1121.7201017811706,264.4540458015267,0.686590330788804,263.7829007633588,0.30653944020356233,196.92442748091605,0
SWF,11149,SWF,2001,2,482,1104.5560165975103,222.70356846473027,0.717344398340249,216.64933609958507,0.450643153526971,192.8176763485477,0
SWF,11150,SWF,2001,3,445,1095.1011235955057,207.96671910112357,0.681078651685393,200.65141573033705,0.28793258426966295,161.6754382022472,0
SWF,11151,SWF,2001,4,420,1075.8261904761905,192.3895952380952,0.7137380952380952,187.73895238095238,0.2689285714285714,145.31966666666668,0
SWF,11152,SWF,2002,1,373,1129.828418230563,203.03083109919572,0.6958445040214476,196.34249329758714,0.2767560321715818,154.7900804289544,0
SWF,11153,SWF,2002,2,468,1129.207264957265,201.95153846153843,0.7002564102564103,200.7723717948718,0.4752564102564102,161.7935683760684,0
SWF,11154,SWF,2002,3,463,1115.4946004319654,201.78228941684665,0.717170626349892,206.91740820734344,0.24038876889848812,156.7570626349892,0
SWF,11155,SWF,2002,4,417,1095.189448441247,206.6714148681055,0.7216546762589928,210.6328057553957,0.1978896882494005,161.38043165467624,0
SWF,11156,SWF,2003,1,313,1125.3418530351437,231.92444089456868,0.7228434504792332,229.56654952076678,0.3337699680511182,184.34201277955273,0
SWF,11157,SWF,2003,2,346,1111.049132947977,232.30468208092486,0.7245375722543352,233.03895953757225,0.3436705202312139,198.06413294797687,0
SWF,11158,SWF,2003,3,355,1187.487323943662,229.18360563380278,0.7370422535211267,223.05405633802815,0.40174647887323944,191.69,0
SWF,11159,SWF,2003,4,341,1151.9882697947214,225.84304985337243,0.6951026392961877,220.6697947214076,0.4687096774193549,195.21002932551318,0
SWF,11160,SWF,2004,1,229,1160.7816593886462,247.46327510917033,0.7002620087336245,249.47100436681225,0.5703056768558952,217.46593886462884,0
SWF,11161,SWF,2004,2,364,1171.857142857143,234.34321428571425,0.6624175824175824,238.82376373626371,0.45107142857142857,206.29651098901098,0
SWF,11162,SWF,2004,3,428,1199.2546728971963,197.30322429906542,0.6182943925233645,201.13656542056074,0.2156542056074767,154.7630140186916,0
SWF,11163,SWF,2004,4,452,1152.7323008849557,185.46938053097347,0.5769026548672567,186.30238938053097,0.2804424778761062,143.40617256637168,0
